,Bacteria,Archaea,Eukaryota,Viruses
donkey1,0.9789706523770952,0.010343323571562093,0.01021870521527821,0.0004673188360645524
donkey2,0.9846717760746418,0.006497834055314896,0.008597134288570478,0.00023325558147284243
donkey3,0.98207208907341,0.009121217839843996,0.008492168333647857,0.0003145247530980688
hinny1,0.9849260258676841,0.0077230855122359734,0.007164790174002048,0.00018609844607797525
hinny2,0.9781551653931831,0.009221777767132148,0.012191908788234451,0.0004311480514503342
hinny3,0.9799959529384558,0.008961350562252479,0.010637990344867457,0.0004047061544243055
horse1,0.9875917036500318,0.0052531473598405945,0.00674757721220904,0.00040757177791866684
horse2,0.9891496707186168,0.005251095186979605,0.005425164640691636,0.0001740694537120311
horse3,0.9873217115689383,0.005874637958358382,0.006585059292857534,0.00021859117984589327
