,Clostridia,Bacteroidia,Gammaproteobacteria,Actinobacteria,Bacilli,Deltaproteobacteria,Spirochaetia,Alphaproteobacteria,Coriobacteriia,Fibrobacteria,Verrucomicrobiae,Betaproteobacteria,Negativicutes,Flavobacteriia,Opitutae,Erysipelotrichia,Cytophagia,Kiritimatiellae,Lentisphaeria,Planctomycetia,Sphingobacteriia,Chitinophagia,Tissierellia,Epsilonproteobacteria,Phycisphaerae,Methanomicrobia,Thermoplasmata,Anaerolineae,Fusobacteriia,Oligoflexia
donkey1,0.4229522184300346,0.1624146757679183,0.0388651877133106,0.0362201365187713,0.0312286689419795,0.0330204778156997,0.0265358361774744,0.0312286689419795,0.0200938566552901,0.0238481228668942,0.0123720136518771,0.0148037542662116,0.0121587030716723,0.0110068259385665,0.0093003412969283,0.0075085324232082,0.0083617747440273,0.0084044368600682,0.0088310580204778,0.0062286689419795,0.0043941979522184,0.0041382252559727,0.0046928327645051,0.0030716723549488,0.0030716723549488,0.0052474402730375,0.0023890784982935,0.0019624573378839,0.0024317406143344,0.0021757679180887
donkey2,0.435224839400428,0.173135260528194,0.0314953604568165,0.035376516773733,0.0309154175588864,0.029532476802284,0.0329675231977159,0.0258297644539614,0.0201195574589578,0.0299785867237687,0.014097073518915,0.0132940756602426,0.0103051391862955,0.0104835831548893,0.0082976445396145,0.0088775874375446,0.0087437544610992,0.0086099214846538,0.0068254817987152,0.0057102069950035,0.0034796573875802,0.0042380442541042,0.0033012134189864,0.0027212705210563,0.0028551034975017,0.0022305496074232,0.0021413276231263,0.0025874375446109,0.0014275517487508,0.0021413276231263
donkey3,0.4531310942578548,0.1721776814734561,0.0344095341278439,0.0310292524377031,0.0307692307692307,0.0265655471289274,0.0243553629469122,0.0243553629469122,0.0222751895991332,0.0187648970747562,0.0117009750812567,0.0131310942578548,0.0111375947995666,0.010964247020585,0.0098374864572047,0.0075839653304442,0.0090140845070422,0.0086240520043336,0.0095774647887323,0.0048104008667388,0.0040303358613217,0.0034669555796316,0.0039869989165763,0.00329360780065,0.0023835319609967,0.0023835319609967,0.0027302275189599,0.0022101841820151,0.0017768147345612,0.0023835319609967
hinny1,0.5056238556107762,0.1337954486005752,0.0275961286947423,0.0279884907140988,0.0251111692388176,0.0289040020925973,0.0209259743656813,0.0256343185979596,0.0205336123463248,0.015956055453832,0.0177870782108291,0.0119016479204812,0.0107245618624117,0.0083703897462725,0.008762751765629,0.0102014125032696,0.008239602406487,0.0103321998430551,0.0088935391054145,0.0047083442322783,0.0044467695527072,0.0036620455139942,0.0036620455139942,0.0030081088150666,0.0031388961548522,0.0028773214752811,0.0022233847763536,0.0027465341354956,0.0024849594559246,0.0023541721161391
hinny2,0.4108299802223288,0.125826911273273,0.047909704698902,0.0420105026256564,0.0376116756461843,0.0369637864011457,0.0208347541430812,0.0332469481006615,0.019266180181409,0.0155834413148741,0.0208688535770306,0.0172202141444452,0.0128554865989224,0.0104003273545659,0.0135715747118598,0.0079451681102093,0.0111505149014526,0.0121393984859851,0.0116279069767442,0.0079792675441587,0.0040237332060287,0.0040919320739275,0.0041601309418263,0.0043647275455227,0.0033417445270408,0.0020459660369637,0.0034781422628384,0.0023869603764577,0.0021823637727613,0.0027620541499011
hinny3,0.4209318882999756,0.1452812277509688,0.0369432798038129,0.0311288663871528,0.0317617277114151,0.0299818052369274,0.0352820188276243,0.0265801756190174,0.021438177359386,0.0449727078553911,0.0128945494818447,0.0127758879835455,0.0140416106320702,0.0086622893758405,0.0106795348469266,0.0080294280515781,0.0102839965192627,0.0104817656830946,0.0109564116762914,0.0051815520923977,0.0047860137647337,0.0044300292698362,0.0034807372834427,0.0028874297919468,0.0024918914642828,0.0023732299659837,0.0030456451230124,0.0032038604540779,0.0023336761332173,0.00241278379875
horse1,0.5220290545367935,0.1685520361990947,0.0249464158132888,0.0200643010240533,0.0242914979757084,0.0196475351274112,0.0395332221957608,0.0189330793045962,0.0200643010240533,0.0203024529649916,0.0070254822576803,0.0086925458442486,0.010478685401286,0.0075613241247916,0.0066087163610383,0.0089902357704215,0.0070850202429149,0.0060133365086925,0.0061919504643962,0.0027982853060252,0.0033341271731364,0.0023219814241486,0.0022029054536794,0.0023219814241486,0.0014884496308644,0.001131221719457,0.0016075256013336,0.0016670635865682,0.0017861395570373,0.0013098356751607
horse2,0.5635147672800368,0.1751971547858357,0.0191742693675583,0.0198701097881552,0.0240451523117364,0.0132209679913406,0.0180145353332302,0.0139168084119375,0.0362996752744703,0.0126024431730323,0.0056440389670635,0.0077315602288541,0.0132596257924849,0.0061079325807948,0.0043683315293026,0.0091618988711922,0.005721354569352,0.0039817535178599,0.0045616205350239,0.0029379928869645,0.0026287304778104,0.001855574454925,0.0033245708984072,0.002010205659502,0.0017396010514921,0.0011597340343281,0.0012370496366166,0.0013916808411937,0.0022808102675119,0.001005102829751
horse3,0.542140532261152,0.1314187248707637,0.0255791690599272,0.0283362052460271,0.0260386750909438,0.0220562894887995,0.0194524219797051,0.0201033888569787,0.0321271300019145,0.0179973195481523,0.0100325483438636,0.0099942561746122,0.0115259429446678,0.008692322420065,0.0065862531112387,0.0094198736358414,0.0073520964962665,0.0070840513115067,0.0068542982959984,0.0036377560788818,0.0035228795711277,0.0044801838024124,0.0033314187248707,0.0020294849703235,0.0017997319548152,0.001876316293318,0.001684855447061,0.0013785180930499,0.0019146084625694,0.0013785180930499
