,Clostridia,Bacteroidia,Gammaproteobacteria,Actinobacteria,Deltaproteobacteria,Alphaproteobacteria,Bacilli,Spirochaetia,Fibrobacteria,Coriobacteriia,Betaproteobacteria,Verrucomicrobiae,Negativicutes,Flavobacteriia,Opitutae,Lentisphaeria,Kiritimatiellae,Cytophagia,Erysipelotrichia,Planctomycetia,Methanomicrobia,Tissierellia,Sphingobacteriia,Chitinophagia,Epsilonproteobacteria,Phycisphaerae,Mollicutes,Fusobacteriia,Thermoplasmata,Oligoflexia,Halobacteria,Synergistia,Anaerolineae,Sordariomycetes,Acidobacteriia,Zetaproteobacteria,Ignavibacteria,Agaricomycetes,Aquificae,Eurotiomycetes,Leotiomycetes,Thermotogae,Spartobacteria,Nitrospira,Deinococci,Gemmatimonadetes,Saprospiria,Candidatus Cryosericia,Chlamydiia,Methanobacteria,Deferribacteres,Dothideomycetes,Candidatus Termititenacia,Candidatus Brocadiae,Chlorobia,Coscinodiscophyceae,Methylacidiphilae,Aconoidasida,Chthonomonadetes,Variosea,Blastocatellia,Chloroflexia,Microbotryomycetes,Thermodesulfobacteria,Conoidasida,Dictyoglomia,Eumycetozoa,Kinetoplastea,Bangiophyceae,Calditrichae,Candidatus Fermentibacteria (class),Chytridiomycetes,Mamiellophyceae,Nitriliruptoria,Archaeoglobi,Balneolia,Chlorophyceae,Candidatus Ozemobacteria,Chrysiogenetes,Choanoflagellata,Hydrogenophilalia,Malasseziomycetes,Phaeophyceae,Thermoleophilia,Trebouxiophyceae,Acidithiobacillia,Ardenticatenia,Chitinivibrionia,Holophagae,Neocallimastigomycetes,Ustilaginomycetes,Candidatus Thermofonsia,Heterotrichea,Thermococci,Acidimicrobiia,Blastocladiomycetes,Caldilineae,Candidatus Marinamargulisbacteria,Cryptophyceae,Dehalococcoidia,Exobasidiomycetes,Haptophyta,Oligohymenophorea,Oomycetes,Theionarchaea,Thermoanaerobaculia,Vicinamibacteria,Armatimonadia,Candidatus Poseidoniia,Dinophyceae,Ktedonobacteria,Nitrospinia,Rubrobacteria,Abditibacteria,Bacillariophyceae,Bigyra,Candidatus Lambdaproteobacteria,Candidatus Riflemargulisbacteria,Chitinispirillia,Elusimicrobia,Hadesarchaea,Harpellomycetes,Litostomatea,Methanococci,Methanopyri,Mortierellomycetes,Pezizomycetes,Rhodothermia,Saccharomycetes,Spirotrichea,Thermoprotei,Tremellomycetes
donkey1,0.42295221843003467,0.16241467576791832,0.038865187713310635,0.03622013651877138,0.0330204778156997,0.031228668941979565,0.031228668941979565,0.02653583617747444,0.02384812286689423,0.02009385665529013,0.014803754266211624,0.01237201365187715,0.012158703071672373,0.01100682593856657,0.009300341296928341,0.008831058020477829,0.008404436860068271,0.008361774744027316,0.007508532423208202,0.006228668941979531,0.00524744027303755,0.004692832764505126,0.004394197952218437,0.004138225255972702,0.00307167235494881,0.00307167235494881,0.0026023890784982974,0.0024317406143344747,0.0023890784982935186,0.0021757679180887403,0.0021331058020477847,0.0020051194539249177,0.001962457337883962,0.0015784982935153607,0.001535836177474405,0.001535836177474405,0.0014078498293515378,0.0012798634812286709,0.0012372013651877152,0.0011945392491467593,0.0010665529010238923,0.0010665529010238923,0.0010238907849829367,0.0009385665529010253,0.0008959044368600695,0.0008959044368600695,0.0007679180887372025,0.0006399317406143354,0.0006399317406143354,0.0006399317406143354,0.0005972696245733797,0.0005972696245733797,0.000554607508532424,0.0005119453924914683,0.0005119453924914683,0.0005119453924914683,0.0005119453924914683,0.00046928327645051263,0.00046928327645051263,0.00046928327645051263,0.0004266211604095569,0.0004266211604095569,0.0004266211604095569,0.0004266211604095569,0.00038395904436860126,0.00038395904436860126,0.00038395904436860126,0.00038395904436860126,0.00034129692832764554,0.00034129692832764554,0.00034129692832764554,0.00034129692832764554,0.00034129692832764554,0.00034129692832764554,0.00029863481228668983,0.00029863481228668983,0.00029863481228668983,0.00025597269624573417,0.00025597269624573417,0.00021331058020477846,0.00021331058020477846,0.00021331058020477846,0.00021331058020477846,0.00021331058020477846,0.00021331058020477846,0.00017064846416382277,0.00017064846416382277,0.00017064846416382277,0.00017064846416382277,0.00017064846416382277,0.00017064846416382277,0.00012798634812286709,0.00012798634812286709,0.00012798634812286709,8.532423208191139e-05,8.532423208191139e-05,8.532423208191139e-05,8.532423208191139e-05,8.532423208191139e-05,8.532423208191139e-05,8.532423208191139e-05,8.532423208191139e-05,8.532423208191139e-05,8.532423208191139e-05,8.532423208191139e-05,8.532423208191139e-05,8.532423208191139e-05,4.266211604095569e-05,4.266211604095569e-05,4.266211604095569e-05,4.266211604095569e-05,4.266211604095569e-05,4.266211604095569e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
donkey2,0.43522483940042805,0.17313526052819406,0.03149536045681654,0.03537651677373303,0.02953247680228407,0.025829764453961446,0.030915417558886497,0.0329675231977159,0.029978586723768724,0.02011955745895788,0.013294075660242677,0.014097073518915055,0.0103051391862955,0.01048358315488936,0.008297644539614558,0.0068254817987152,0.008609921484653815,0.00874375446109921,0.008877587437544606,0.005710206995003566,0.0022305496074232684,0.0033012134189864366,0.003479657387580298,0.00423804425410421,0.0027212705210563873,0.002855103497501783,0.0016506067094932183,0.0014275517487508916,0.002141327623126337,0.002141327623126337,0.0010260528194147034,0.001962883654532476,0.002587437544610991,0.0005799428979300497,0.0015613847251962876,0.0010706638115631686,0.0012044967880085649,0.0009368308351177726,0.0005799428979300497,0.0009368308351177726,0.0008029978586723766,0.000981441827266238,0.0010706638115631686,0.0009368308351177726,0.00022305496074232682,0.0005799428979300497,0.000981441827266238,0.0007583868665239112,0.000981441827266238,0.00026766595289079214,0.00013383297644539607,0.0006691648822269804,0.0004014989293361883,0.0003122769450392575,0.0006691648822269804,0.0003122769450392575,0.00013383297644539607,8.922198429693072e-05,4.461099214846536e-05,0.0005799428979300497,0.0003122769450392575,0.0003122769450392575,0.00022305496074232682,0.0003122769450392575,0.0008029978586723766,0.0003568879371877229,0.00022305496074232682,0.00022305496074232682,0.00022305496074232682,4.461099214846536e-05,0.0003568879371877229,0.000624553890078515,0.00026766595289079214,4.461099214846536e-05,0.0,8.922198429693072e-05,0.0003122769450392575,8.922198429693072e-05,0.0003122769450392575,0.0003122769450392575,0.00026766595289079214,0.0,0.00022305496074232682,0.0003568879371877229,8.922198429693072e-05,0.0004014989293361883,8.922198429693072e-05,0.00013383297644539607,0.00017844396859386145,4.461099214846536e-05,8.922198429693072e-05,0.00026766595289079214,4.461099214846536e-05,0.0003122769450392575,0.00026766595289079214,0.0,8.922198429693072e-05,0.0,0.0,4.461099214846536e-05,0.0003568879371877229,0.0005353319057815843,0.0,0.00022305496074232682,4.461099214846536e-05,4.461099214846536e-05,8.922198429693072e-05,0.00013383297644539607,0.0,0.0,4.461099214846536e-05,0.0,8.922198429693072e-05,0.0,0.0,8.922198429693072e-05,8.922198429693072e-05,0.0,0.0,0.00017844396859386145,0.0,4.461099214846536e-05,0.0,0.0,0.0,0.0,0.00013383297644539607,0.0,0.0,0.0,0.00017844396859386145,0.0
donkey3,0.45313109425785486,0.17217768147345613,0.03440953412784399,0.031029252437703145,0.026565547128927412,0.024355362946912245,0.030769230769230774,0.024355362946912245,0.01876489707475623,0.022275189599133265,0.013131094257854824,0.011700975081256773,0.011137594799566632,0.01096424702058505,0.009837486457204768,0.009577464788732394,0.008624052004333697,0.009014084507042254,0.007583965330444205,0.004810400866738895,0.00238353196099675,0.003986998916576382,0.004030335861321777,0.0034669555796316364,0.003293607800650055,0.00238353196099675,0.0020801733477789817,0.0017768147345612138,0.0027302275189599137,0.00238353196099675,0.0019068255687974,0.0016901408450704226,0.002210184182015168,0.0011700975081256773,0.0016468039003250275,0.0010834236186348864,0.0013001083423618636,0.0010400866738894908,0.0014734561213434454,0.0006933911159263273,0.0010834236186348864,0.0009534127843987,0.0013001083423618636,0.0006933911159263273,0.0006933911159263273,0.0006067172264355363,0.00030335861321776817,0.00034669555796316363,0.0009100758396533047,0.0012567713976164682,0.00034669555796316363,0.00034669555796316363,0.0006933911159263273,0.00043336944745395455,0.0006067172264355363,0.00034669555796316363,0.00030335861321776817,0.00017334777898158181,0.00013001083423618635,0.00013001083423618635,0.00021668472372697727,0.00021668472372697727,0.0003900325027085591,0.00034669555796316363,0.0007367280606717227,0.00021668472372697727,0.0006933911159263273,0.00043336944745395455,0.0,0.00013001083423618635,0.00013001083423618635,0.00043336944745395455,0.00013001083423618635,8.667388949079091e-05,4.3336944745395453e-05,0.0002600216684723727,0.0002600216684723727,8.667388949079091e-05,0.00013001083423618635,0.00021668472372697727,0.00021668472372697727,0.00013001083423618635,0.00013001083423618635,0.0005200433369447454,0.00030335861321776817,0.00030335861321776817,0.00030335861321776817,0.00021668472372697727,8.667388949079091e-05,8.667388949079091e-05,0.0,0.00021668472372697727,0.0002600216684723727,0.00030335861321776817,0.00013001083423618635,0.00013001083423618635,4.3336944745395453e-05,0.0,0.0,4.3336944745395453e-05,0.00021668472372697727,0.00034669555796316363,8.667388949079091e-05,0.0,0.0,0.00013001083423618635,0.0002600216684723727,0.0002600216684723727,0.00030335861321776817,0.0,8.667388949079091e-05,4.3336944745395453e-05,0.0,0.0,0.0,0.0,0.00021668472372697727,8.667388949079091e-05,0.0,8.667388949079091e-05,0.0,0.00013001083423618635,0.0,0.0,0.0,0.0,8.667388949079091e-05,4.3336944745395453e-05,8.667388949079091e-05,0.0,0.0002600216684723727,8.667388949079091e-05
hinny1,0.5056238556107762,0.13379544860057527,0.027596128694742306,0.027988490714098833,0.028904002092597393,0.025634318597959678,0.025111169238817645,0.02092597436568137,0.015956055453832045,0.020533612346324844,0.01190164792048128,0.017787078210829168,0.010724561862411703,0.00837038974627255,0.008762751765629075,0.008893539105414584,0.010332199843055176,0.00823960240648704,0.010201412503269669,0.004708344232278308,0.002877321475281189,0.0036620455139942405,0.004446769552707292,0.0036620455139942405,0.003008108815066697,0.0031388961548522057,0.00274653413549568,0.002484959455924663,0.002223384776353646,0.002354172116139154,0.0017002354172116114,0.0017002354172116114,0.00274653413549568,0.0009155113784985601,0.0015694480774261028,0.0013078733978550857,0.0018310227569971202,0.0007847240387130514,0.0019618100967826284,0.0007847240387130514,0.0006539366989275428,0.0015694480774261028,0.0009155113784985601,0.0014386607376405945,0.0006539366989275428,0.0006539366989275428,0.0009155113784985601,0.0001307873397855086,0.0009155113784985601,0.0010462987182840687,0.0005231493591420344,0.0006539366989275428,0.0007847240387130514,0.0003923620193565257,0.0009155113784985601,0.0002615746795710172,0.0,0.0003923620193565257,0.0001307873397855086,0.0001307873397855086,0.0002615746795710172,0.0005231493591420344,0.0003923620193565257,0.0003923620193565257,0.0003923620193565257,0.0001307873397855086,0.0003923620193565257,0.0001307873397855086,0.0,0.0001307873397855086,0.0003923620193565257,0.0001307873397855086,0.0001307873397855086,0.0,0.0,0.0,0.0001307873397855086,0.0,0.0002615746795710172,0.0002615746795710172,0.0001307873397855086,0.0001307873397855086,0.0,0.0005231493591420344,0.0002615746795710172,0.0002615746795710172,0.0,0.0001307873397855086,0.0,0.0,0.0001307873397855086,0.0001307873397855086,0.0006539366989275428,0.0001307873397855086,0.0002615746795710172,0.0,0.0,0.0,0.0,0.0,0.0,0.0002615746795710172,0.0003923620193565257,0.0,0.0,0.0003923620193565257,0.0002615746795710172,0.0,0.0,0.0,0.0,0.0001307873397855086,0.0,0.0,0.0001307873397855086,0.0,0.0,0.0001307873397855086,0.0,0.0,0.0,0.0001307873397855086,0.0,0.0,0.0,0.0,0.0,0.0002615746795710172,0.0,0.0,0.0001307873397855086,0.0
hinny2,0.4108299802223288,0.12582691127327303,0.04790970469890206,0.04201050262565647,0.03696378640114579,0.03324694810066157,0.03761167564618432,0.020834754143081252,0.015583441314874194,0.019266180181409014,0.017220214144445224,0.02086885357703065,0.012855486598922475,0.010400327354565926,0.0135715747118598,0.011627906976744201,0.012139398485985149,0.011150514901452649,0.00794516811020938,0.007979267544158777,0.002045966036963789,0.004160130941826371,0.004023733206028785,0.004091932073927578,0.00436472754552275,0.0033417445270408556,0.0017049716974698243,0.002182363772761375,0.0034781422628384416,0.0027620541499011153,0.001773170565368617,0.00184136943326741,0.002386960376457754,0.0013980767919252557,0.001636772829571031,0.000988883584532498,0.0015685739616722383,0.000988883584532498,0.0019095683011662032,0.0015003750937734454,0.0012275796221782734,0.002182363772761375,0.0019095683011662032,0.00126167905612767,0.0007501875468867227,0.0014662756598240489,0.0009547841505831016,0.0008183864147855156,0.0015344745277228416,0.0010229830184818945,0.0004091932073927578,0.0004773920752915508,0.0008524858487349122,0.0005114915092409472,0.0006819886789879297,0.0005114915092409472,0.00037509377344336134,0.0005114915092409472,0.0005796903771397402,0.00017049716974698242,0.00030689490554456836,0.0004773920752915508,0.00030689490554456836,0.0004773920752915508,0.0007842869808361192,0.00044329264134215427,0.0008524858487349122,0.0007842869808361192,0.00013639773579758593,0.00010229830184818944,0.0005455909431903437,0.0008183864147855156,0.0009547841505831016,0.00027279547159517187,0.00017049716974698242,0.00017049716974698242,0.00010229830184818944,0.0002045966036963789,0.0004773920752915508,0.00027279547159517187,0.0006478892450385332,0.00037509377344336134,0.0002386960376457754,0.0008865852826843085,0.0005796903771397402,0.0007501875468867227,0.00027279547159517187,6.819886789879297e-05,6.819886789879297e-05,0.0,6.819886789879297e-05,0.00017049716974698242,0.00013639773579758593,0.0005455909431903437,0.00013639773579758593,0.00030689490554456836,3.4099433949396484e-05,0.0,0.0,3.4099433949396484e-05,0.0004091932073927578,0.0006137898110891367,0.00010229830184818944,0.0002045966036963789,0.0002045966036963789,0.00017049716974698242,0.00017049716974698242,0.00010229830184818944,0.0,6.819886789879297e-05,3.4099433949396484e-05,0.0,0.00010229830184818944,6.819886789879297e-05,6.819886789879297e-05,3.4099433949396484e-05,0.00017049716974698242,0.0002045966036963789,3.4099433949396484e-05,6.819886789879297e-05,6.819886789879297e-05,6.819886789879297e-05,0.0,6.819886789879297e-05,0.0,6.819886789879297e-05,0.0002386960376457754,0.00013639773579758593,0.0,6.819886789879297e-05,0.00017049716974698242,0.00010229830184818944
hinny3,0.42093188829997563,0.14528122775096886,0.036943279803812935,0.031128866387152867,0.029981805236927412,0.026580175619017442,0.03176172771141519,0.03528201882762434,0.04497270785539112,0.021438177359386093,0.012775887983545585,0.012894549481844772,0.014041610632070226,0.008662289375840506,0.010679534846926651,0.010956411676291416,0.010481765683094677,0.0102839965192627,0.008029428051578186,0.0051815520923977456,0.0023732299659837003,0.0034807372834427604,0.004786013764733796,0.00443002926983624,0.0028874297919468353,0.002491891464282885,0.0015425994778894053,0.002333676133217305,0.0030456451230124154,0.002412783798750095,0.0017008148089549852,0.002491891464282885,0.0032038604540779955,0.0007910766553279001,0.0009492919863934801,0.001067953484692665,0.00102839965192627,0.00102839965192627,0.0014239379795902203,0.0011470611502254551,0.0016612609761885902,0.0015425994778894053,0.0013843841468238252,0.0008306304880942951,0.000988845819159875,0.0017008148089549852,0.0012657226485246402,0.00055375365872953,0.0011866149829918501,0.000514199825963135,0.00031643066213116005,0.0005933074914959251,0.00039553832766395003,7.910766553279001e-05,0.00035598449489755506,0.00023732299659837003,0.00043509216043034505,0.00035598449489755506,0.000276876829364765,0.00031643066213116005,0.000276876829364765,0.00031643066213116005,0.0007910766553279001,0.00043509216043034505,0.000514199825963135,0.000514199825963135,0.00055375365872953,0.0009492919863934801,0.00015821533106558002,0.000276876829364765,0.00035598449489755506,0.00055375365872953,0.00015821533106558002,3.9553832766395006e-05,7.910766553279001e-05,0.00019776916383197501,3.9553832766395006e-05,0.000276876829364765,0.00015821533106558002,0.00031643066213116005,0.00019776916383197501,0.00011866149829918502,0.00015821533106558002,0.00047464599319674007,0.00015821533106558002,0.00023732299659837003,0.00019776916383197501,0.00015821533106558002,3.9553832766395006e-05,7.910766553279001e-05,0.0,0.00011866149829918502,7.910766553279001e-05,0.00015821533106558002,0.00011866149829918502,7.910766553279001e-05,3.9553832766395006e-05,0.0,7.910766553279001e-05,3.9553832766395006e-05,0.00023732299659837003,0.000276876829364765,0.0,0.00011866149829918502,0.0,3.9553832766395006e-05,0.0,0.0,0.00019776916383197501,7.910766553279001e-05,3.9553832766395006e-05,0.0,3.9553832766395006e-05,0.0,7.910766553279001e-05,0.0,7.910766553279001e-05,0.0,3.9553832766395006e-05,0.0,0.0,0.000276876829364765,3.9553832766395006e-05,0.0,0.0,0.0,0.00011866149829918502,0.00035598449489755506,0.00019776916383197501,0.0,0.00035598449489755506,3.9553832766395006e-05
horse1,0.5220290545367935,0.1685520361990947,0.024946415813288828,0.020064301024053304,0.01964753512741125,0.018933079304596295,0.02429149797570845,0.03953322219576082,0.020302452964991623,0.020064301024053304,0.008692545844248613,0.007025482257680387,0.010478685401286,0.007561324124791602,0.00660871636103833,0.006191950464396272,0.0060133365086925345,0.007085020242914965,0.008990235770421512,0.0027982853060252388,0.0011312217194570113,0.002202905453679443,0.003334127173136455,0.0023219814241486024,0.0023219814241486024,0.0014884496308644887,0.0016075256013336476,0.0017861395570373862,0.0016075256013336476,0.00130983567516075,0.0007144558228149545,0.001071683734222432,0.0016670635865682275,0.0007144558228149545,0.0011907597046915909,0.000535841867111216,0.001071683734222432,0.0012502976899261703,0.000654917837580375,0.000535841867111216,0.00023815194093831818,0.0012502976899261703,0.000654917837580375,0.000654917837580375,0.00035722791140747727,0.0010121457489878523,0.0011312217194570113,0.00047630388187663636,0.0012502976899261703,0.0009526077637532727,0.0002976899261728977,0.0002976899261728977,0.000535841867111216,0.000654917837580375,0.0008930697785186931,0.0002976899261728977,0.00035722791140747727,0.00017861395570373863,0.0002976899261728977,5.9537985234579544e-05,0.00023815194093831818,0.0002976899261728977,0.00023815194093831818,0.00017861395570373863,0.0005953798523457954,0.00023815194093831818,0.00023815194093831818,0.00011907597046915909,0.0,0.0,0.0002976899261728977,5.9537985234579544e-05,0.00017861395570373863,5.9537985234579544e-05,5.9537985234579544e-05,0.00011907597046915909,5.9537985234579544e-05,5.9537985234579544e-05,0.00023815194093831818,0.00023815194093831818,0.00017861395570373863,5.9537985234579544e-05,5.9537985234579544e-05,0.0008335317932841137,0.00011907597046915909,0.0002976899261728977,5.9537985234579544e-05,0.00011907597046915909,0.0,0.00017861395570373863,5.9537985234579544e-05,0.0,0.000535841867111216,0.0007144558228149545,0.00011907597046915909,0.00011907597046915909,0.00023815194093831818,0.0,0.0,0.00011907597046915909,0.00011907597046915909,5.9537985234579544e-05,0.00023815194093831818,0.00011907597046915909,5.9537985234579544e-05,0.00011907597046915909,5.9537985234579544e-05,5.9537985234579544e-05,0.0,5.9537985234579544e-05,5.9537985234579544e-05,5.9537985234579544e-05,0.0,0.0,0.0,0.00011907597046915909,0.00017861395570373863,0.0,0.0,0.0,0.0,0.00023815194093831818,0.0,0.0,0.0,0.0,0.00011907597046915909,5.9537985234579544e-05,5.9537985234579544e-05,0.00041676589664205687,0.00017861395570373863,0.00011907597046915909
horse2,0.5635147672800368,0.1751971547858357,0.019174269367558363,0.019870109788155236,0.013220967991340647,0.01391680841193752,0.024045152311736494,0.018014535333230233,0.01260244317303231,0.03629967527447037,0.007731560228854178,0.00564403896706355,0.013259625792484917,0.006107932580794801,0.004368331529302611,0.004561620535023965,0.003981753517859902,0.005721354569352092,0.009161898871192202,0.002937992886964588,0.0011597340343281267,0.0033245708984072967,0.0026287304778104207,0.0018555744549250029,0.0020102056595020863,0.00173960105149219,0.0009277872274625014,0.0022808102675119825,0.0012370496366166685,0.0010051028297510432,0.0012370496366166685,0.0011210762331838558,0.0013916808411937522,0.0005412092160197925,0.000734498221741147,0.0006185248183083343,0.0004252358125869798,0.0009277872274625014,0.0008504716251739596,0.0007731560228854178,0.0005412092160197925,0.0006958404205968761,0.001043760630895314,0.0004252358125869798,0.00034792021029843805,0.0004638936137312507,0.00034792021029843805,0.0004638936137312507,0.0008504716251739596,0.0006571826194526052,0.0003865780114427089,0.0003865780114427089,0.00019328900572135446,0.00023194680686562536,0.0003865780114427089,3.865780114427089e-05,0.00011597340343281268,3.865780114427089e-05,0.0,0.0,7.731560228854178e-05,0.00019328900572135446,0.00011597340343281268,7.731560228854178e-05,0.00023194680686562536,7.731560228854178e-05,0.00027060460800989625,0.00027060460800989625,0.00023194680686562536,3.865780114427089e-05,7.731560228854178e-05,3.865780114427089e-05,7.731560228854178e-05,3.865780114427089e-05,0.0,0.00015463120457708356,7.731560228854178e-05,0.0,0.00023194680686562536,0.00015463120457708356,0.00011597340343281268,0.00011597340343281268,0.00019328900572135446,0.0003092624091541671,0.00015463120457708356,0.00015463120457708356,0.0,3.865780114427089e-05,0.0,0.00027060460800989625,0.0,0.00023194680686562536,0.00015463120457708356,0.00023194680686562536,0.0,3.865780114427089e-05,0.0,0.0,0.0,3.865780114427089e-05,0.0,0.00015463120457708356,0.0,0.0,0.0,0.0,0.0,0.00015463120457708356,3.865780114427089e-05,0.0,0.00034792021029843805,3.865780114427089e-05,3.865780114427089e-05,7.731560228854178e-05,0.0,0.00015463120457708356,3.865780114427089e-05,3.865780114427089e-05,0.0,0.0,0.0,7.731560228854178e-05,0.0,7.731560228854178e-05,7.731560228854178e-05,0.00015463120457708356,3.865780114427089e-05,3.865780114427089e-05,0.0,7.731560228854178e-05,7.731560228854178e-05,7.731560228854178e-05
horse3,0.542140532261152,0.13141872487076378,0.025579169059927215,0.028336205246027157,0.022056289488799515,0.020103388856978724,0.02603867509094387,0.019452421979705127,0.017997319548152382,0.03212713000191457,0.00999425617461228,0.010032548343863669,0.011525942944667801,0.008692322420065087,0.006586253111238744,0.00685429829599846,0.007084051311506789,0.007352096496266506,0.00941987363584146,0.003637756078881865,0.0018763162933180142,0.00333141872487076,0.0035228795711277003,0.004480183802412402,0.0020294849703235665,0.001799731954815238,0.001684855447061074,0.0019146084625694022,0.001684855447061074,0.0013785180930499697,0.0013785180930499697,0.0013785180930499697,0.0013785180930499697,0.0007275512157763729,0.0006892590465249848,0.0012253494160444176,0.0008807198927819251,0.000765843385027761,0.0011104729082902535,0.0006126747080222088,0.0006509668772735969,0.0012636415852958056,0.0009955964005360892,0.0009955964005360892,0.0005360903695194327,0.0006509668772735969,0.0003446295232624924,0.00026804518475971633,0.0011870572467930294,0.0003446295232624924,0.0003063373540111044,0.0007275512157763729,0.0007275512157763729,0.00011487650775416416,0.0004977982002680446,0.00026804518475971633,7.65843385027761e-05,0.0002297530155083283,0.0002297530155083283,0.0,0.0002297530155083283,0.00011487650775416416,0.0001531686770055522,0.00019146084625694024,0.00026804518475971633,0.0003063373540111044,0.0003829216925138805,0.0003063373540111044,0.0,0.0,0.00026804518475971633,0.0003446295232624924,0.00019146084625694024,7.65843385027761e-05,0.0,3.829216925138805e-05,0.0,0.00011487650775416416,0.0003063373540111044,0.0005360903695194327,0.0002297530155083283,0.00011487650775416416,0.0001531686770055522,0.0004977982002680446,0.0001531686770055522,0.0002297530155083283,0.0001531686770055522,7.65843385027761e-05,0.0002297530155083283,3.829216925138805e-05,7.65843385027761e-05,0.0003446295232624924,0.0,0.0003446295232624924,0.00011487650775416416,0.0,7.65843385027761e-05,0.0,0.0,7.65843385027761e-05,0.00011487650775416416,0.0003063373540111044,0.0001531686770055522,0.0001531686770055522,0.0,0.0001531686770055522,0.0001531686770055522,7.65843385027761e-05,7.65843385027761e-05,0.0,0.00026804518475971633,0.0,0.0,0.0,3.829216925138805e-05,3.829216925138805e-05,0.00019146084625694024,0.0,0.0,7.65843385027761e-05,0.0,7.65843385027761e-05,0.0,0.0,0.0,0.0,0.00026804518475971633,0.0001531686770055522,0.00011487650775416416,0.0,0.00011487650775416416,3.829216925138805e-05
